Day,Floret,Temp,Time,Length
1,1,25,06:00,7.538795181
1,2,25,06:00,7.543840361
1,3,25,06:00,7.531084337
1,4,25,06:00,7.786716867
1,5,25,06:00,7.65439759
2,1,25,06:00,7.390889549
2,2,25,06:00,7.593760225
2,3,25,06:00,7.215737958
2,4,25,06:00,7.297503906
2,5,25,06:00,7.188875061
3,1,25,06:00,6.894888056
3,2,25,06:00,7.076517822
3,3,25,06:00,6.830368224
3,4,25,06:00,6.845571262
3,5,25,06:00,
1,1,25,06:15,8.059804512
1,2,25,06:15,8.056345754
1,3,25,06:15,8.337312682
1,4,25,06:15,8.246150799
1,5,25,06:15,8.167163133
2,1,25,06:15,7.190332231
2,2,25,06:15,7.264568466
2,3,25,06:15,7.221953708
2,4,25,06:15,6.989862805
2,5,25,06:15,7.056675417
3,1,25,06:15,6.670492344
3,2,25,06:15,7.09650608
3,3,25,06:15,6.704225398
3,4,25,06:15,6.795424772
3,5,25,06:15,6.879595073
1,1,25,06:30,7.787927632
1,2,25,06:30,7.756743421
1,3,25,06:30,7.785427632
1,4,25,06:30,7.719835526
1,5,25,06:30,7.744177632
2,1,25,06:30,6.991501048
2,2,25,06:30,6.957045017
2,3,25,06:30,7.178117696
2,4,25,06:30,7.022989863
2,5,25,06:30,7.027243881
3,1,25,06:30,7.52319385
3,2,25,06:30,6.850388748
3,3,25,06:30,7.136035643
3,4,25,06:30,6.90788853
3,5,25,06:30,6.816074081
1,1,25,06:45,7.909887422
1,2,25,06:45,7.716839367
1,3,25,06:45,7.677954643
1,4,25,06:45,7.596880499
1,5,25,06:45,7.654167526
2,1,25,06:45,7.260682532
2,2,25,06:45,7.030727162
2,3,25,06:45,7.126699139
2,4,25,06:45,7.399276596
2,5,25,06:45,7.037392094
3,1,25,06:45,7.019430011
3,2,25,06:45,7.064586219
3,3,25,06:45,7.088084106
3,4,25,06:45,7.422833561
3,5,25,06:45,6.942116059
1,1,25,07:00,8.27086295
1,2,25,07:00,7.801981182
1,3,25,07:00,8.095273233
1,4,25,07:00,7.991741561
1,5,25,07:00,8.011694938
2,1,25,07:00,7.248974327
2,2,25,07:00,7.328343447
2,3,25,07:00,7.265067249
2,4,25,07:00,7.469661833
2,5,25,07:00,7.334191211
3,1,25,07:00,7.175594161
3,2,25,07:00,7.126930954
3,3,25,07:00,6.948580019
3,4,25,07:00,7.170147762
3,5,25,07:00,7.227763955
1,1,25,07:15,8.354047378
1,2,25,07:15,7.470155575
1,3,25,07:15,7.50829719
1,4,25,07:15,7.935477102
1,5,25,07:15,7.845693099
2,1,25,07:15,7.117044798
2,2,25,07:15,7.520666976
2,3,25,07:15,7.334347318
2,4,25,07:15,7.325177643
2,5,25,07:15,7.077455587
3,1,25,07:15,6.998201019
3,2,25,07:15,7.13151518
3,3,25,07:15,7.027138312
3,4,25,07:15,6.736964738
3,5,25,07:15,6.928267864
1,1,25,07:30,8.5278515
1,2,25,07:30,8.830485325
1,3,25,07:30,8.481848799
1,4,25,07:30,8.527168599
1,5,25,07:30,8.329158324
2,1,25,07:30,7.459966869
2,2,25,07:30,7.073490593
2,3,25,07:30,7.400742078
2,4,25,07:30,7.579864244
2,5,25,07:30,7.227074383
3,1,25,07:30,7.419701288
3,2,25,07:30,6.480991407
3,3,25,07:30,7.095003619
3,4,25,07:30,7.097148518
3,5,25,07:30,6.831288992
1,1,25,07:45,8.740603161
1,2,25,07:45,8.544966211
1,3,25,07:45,8.110776538
1,4,25,07:45,8.28718312
1,5,25,07:45,8.021114945
2,1,25,07:45,7.55012263
2,2,25,07:45,7.531031261
2,3,25,07:45,7.782707206
2,4,25,07:45,7.359847394
2,5,25,07:45,7.393716666
3,1,25,07:45,6.969567211
3,2,25,07:45,6.820507351
3,3,25,07:45,6.945084718
3,4,25,07:45,7.017975053
3,5,25,07:45,6.8059261
1,1,25,08:00,9.472766799
1,2,25,08:00,9.295251908
1,3,25,08:00,9.406990091
1,4,25,08:00,9.145083684
1,5,25,08:00,8.94007413
2,1,25,08:00,8.066628898
2,2,25,08:00,7.700797895
2,3,25,08:00,7.746258093
2,4,25,08:00,7.976046268
2,5,25,08:00,7.75379641
3,1,25,08:00,7.553199755
3,2,25,08:00,7.163259653
3,3,25,08:00,6.909262281
3,4,25,08:00,7.042755746
3,5,25,08:00,7.234609317
1,1,25,08:15,9.021501312
1,2,25,08:15,8.518432698
1,3,25,08:15,8.565994299
1,4,25,08:15,8.563244351
1,5,25,08:15,8.503979847
2,1,25,08:15,7.919343492
2,2,25,08:15,7.911170795
2,3,25,08:15,7.932467882
2,4,25,08:15,8.221332662
2,5,25,08:15,8.117795808
3,1,25,08:15,7.321480499
3,2,25,08:15,7.711209277
3,3,25,08:15,7.692078978
3,4,25,08:15,7.043527555
3,5,25,08:15,7.127596313
1,1,25,08:30,9.174519742
1,2,25,08:30,10.67078529
1,3,25,08:30,8.751361023
1,4,25,08:30,10.2213453
1,5,25,08:30,9.822255191
2,1,25,08:30,7.93405345
2,2,25,08:30,7.55851927
2,3,25,08:30,7.705202773
2,4,25,08:30,7.766167029
2,5,25,08:30,8.021744335
3,1,25,08:30,7.524272856
3,2,25,08:30,7.914144838
3,3,25,08:30,7.502399644
3,4,25,08:30,7.824072071
3,5,25,08:30,7.748084692
1,1,25,08:45,10.983125
1,2,25,08:45,10.83542188
1,3,25,08:45,11.00070313
1,4,25,08:45,11.06690625
1,5,25,08:45,10.65601563
2,1,25,08:45,7.77633412
2,2,25,08:45,7.829778214
2,3,25,08:45,7.820587707
2,4,25,08:45,9.374657176
2,5,25,08:45,9.36962505
3,1,25,08:45,7.791895291
3,2,25,08:45,7.632428449
3,3,25,08:45,7.519420703
3,4,25,08:45,9.302632949
3,5,25,08:45,7.70285403
1,1,25,09:00,11.08462135
1,2,25,09:00,11.33123829
1,3,25,09:00,10.99268847
1,4,25,09:00,11.10321676
1,5,25,09:00,10.77546427
2,1,25,09:00,10.21620023
2,2,25,09:00,9.83552261
2,3,25,09:00,9.951312315
2,4,25,09:00,9.907380753
2,5,25,09:00,9.443470969
3,1,25,09:00,9.568253205
3,2,25,09:00,9.291105769
3,3,25,09:00,9.26099359
3,4,25,09:00,8.714407051
